Region,Year,Party,Votes,VotesPercentage,TotalSeats
SK,2002,Slovak Democratic and Christian Union (SDKU),433953.0,15.1,28.0
SK,2002,Hungarian Coalition Party (SMK-MKP),321069.0,11.2,20.0
SK,2002,Alliance of the New Citizen (ANO),230309.0,8.0,15.0
SK,2002,Real Slovak National Party (PSNS),105084.0,3.7,0.0
SK,2002,Party of the Democratic Left (SDL),39163.0,1.4,0.0
SK,2002,Movement for a Democratic Slovakia (HZDS),560691.0,19.5,36.0
SK,2002,Direction (SMER),387100.0,13.5,25.0
SK,2002,Christian Democratic Movement (KDH),237202.0,8.3,15.0
SK,2002,Communist Party of Slovakia (KSS),181872.0,6.3,11.0
SK,2002,Slovak National Party (SNS),95633.0,3.3,0.0
SK,2002,Others,283005.0,9.8,0.0
