"Region","Region2","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"ES",NA,2011,"Partido Popular (PP)",10866566,44.6,186,"No",0.531428571428571
"ES",NA,2011,"Partido Socialista Obrero Español (PSOE)",7003511,28.8,110,"No",0.314285714285714
"ES",NA,2011,"Convergència i Unió (CiU)",1015691,4.2,16,"No",0.0457142857142857
"ES",NA,2011,"La Izquierda Plural (IU-LV)",1686040,6.9,11,"No",0.0314285714285714
"ES",NA,2011,"Amaiur (AMAIUR)",334498,1.4,7,"No",0.02
"ES",NA,2011,"Unión Progreso y Democracia (UPyD)",1143225,4.7,5,"No",0.0142857142857143
"ES",NA,2011,"Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)",324317,1.3,5,"No",0.0142857142857143
"ES",NA,2011,"Esquerra Republicana de Catalunya (ERC/ESQUERRA)",256985,1.1,3,"No",0.00857142857142857
"ES",NA,2011,"Bloque Nacionalista Galego (BNG)",184037,0.8,2,"No",0.00571428571428571
"ES",NA,2011,"Coalición Canaria - Nueva Canarias (CC-NC-PNC)",143881,0.6,2,"No",0.00571428571428571
"ES",NA,2011,"Bloc-Iniciativa-Verds-Equo-Coalició Compromís (COMPROMÍS-Q)",125306,0.5,1,"No",0.00285714285714286
"ES",NA,2011,"Foro de Ciudadanos (FAC)",99473,0.4,1,"No",0.00285714285714286
"ES",NA,2011,"Geroa Bai (GBAI)",42415,0.2,1,"No",0.00285714285714286
"ES",NA,2011,"Equo (EQUO)",216748,0.9,0,"No",0
"ES",NA,2011,"Partido Animalista Contra el Maltrato Animal (PACMA)",102144,0.4,0,"No",0
"ES",NA,2011,"Escaños en Blanco (Eb)",97673,0.4,0,"No",0
"ES",NA,2011,"Partido Andalucista (PA)",76999,0.3,0,"No",0
"ES",NA,2011,"Plataforma per Catalunya (PxC)",59949,0.2,0,"No",0
"ES",NA,2011,"Partido Regionalista de Cantabria (PRC)",44010,0.2,0,"No",0
"ES",NA,2011,"Otros",191957,0.8,0,"No",0
