"Region","Year","Party","FirstRoundVotes","FirstRoundPercentage","FirstRoundSeats","SecondRoundVotes","SecondRoundPercentage","SecondRoundSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"FR",2007,"Socialist Party (PS)",6436521,24.7,1,8624472,42.3,185,186,"No",0.322357019064125
"FR",2007,"French Communist Party (PCF)",1115663,4.3,0,464739,2.3,15,15,"No",0.0259965337954939
"FR",2007,"The Greens",845977,3.3,0,90975,0.4,4,4,"No",0.00693240901213172
"FR",2007,"Movement for France (MPF)",312581,1.2,1,0,0,0,1,"No",0.00173310225303293
"FR",2007,"Hunting, Fishing, Nature and Traditions (CPNT)",213427,0.8,0,0,0,0,0,"No",0
"FR",2007,"Other left-wing parties",513407,2,0,503556,2.5,15,15,"No",0.0259965337954939
"FR",2007,"Union for a Popular Movement (UMP)",10289737,39.5,98,9461087,46.4,215,313,"No",0.542461005199307
"FR",2007,"Presidential Majority",616440,2.4,8,433057,2.1,14,22,"No",0.0381282495667244
"FR",2007,"Left Radical Party (PRG)",343565,1.3,0,333194,1.6,7,7,"No",0.0121317157712305
"FR",2007,"UDF-Democratic Movement (MoDem)",1981107,7.6,0,100115,0.5,3,3,"No",0.00519930675909879
"FR",2007,"National Front (FN)",1116136,4.3,0,17107,0.1,0,0,"No",0
"FR",2007,"Other right-wing parties",641842,2.5,2,238588,1.2,7,9,"No",0.0155979202772964
"FR",2007,"Others",1600063,6.1,0,139552,0.7,2,2,"No",0.00346620450606586
